Year;Oblako_v_shtanah;Fleita_pozvonochnik;Chelovek;Lublyu;Pro_Eto;Lenin;Khorosho;Vo_ves'_golos
1986;0.0001488820;0.0000247569;0.0000165046;0.0000165046;0.0001402889;0.0002014285;0.0000907751;0.0001567934
1987;0.0001151105;0.0000387383;0.0000154953;0.0000000000;0.0000411109;0.0002014392;0.0001317102;0.0000929719
1988;0.0001712442;0.0000384230;0.0000307384;0.0000307384;0.0000768461;0.0001060083;0.0001229537;0.0001229537
1989;0.0001599112;0.0000479734;0.0000225974;0.0000301299;0.0000559689;0.0000677922;0.0001205195;0.0000753247
1990;0.0001760796;0.0000474069;0.0000316046;0.0000000000;0.0000474069;0.0000711103;0.0000553080;0.0000446570
1991;0.0001474464;0.0000552924;0.0000184308;0.0000184308;0.0000645078;0.0000460770;0.0000460770;0.0002211697
1992;0.0000908869;0.0000748244;0.0001282704;0.0000106892;0.0000427568;0.0000340826;0.0000106892;0.0000213784
1993;0.0003305982;0.0001775707;0.0000998835;0.0000110982;0.0000944566;0.0000776872;0.0000332945;0.0001442762
1994;0.0001744727;0.0000612717;0.0001021195;0.0000102119;0.0000327136;0.0000612717;0.0001225434;0.0000714836
1995;0.0001994138;0.0000330856;0.0000771998;0.0000220571;0.0000441141;0.0000330856;0.0000330856;0.0000551427
1996;0.0002695993;0.0001268363;0.0000691834;0.0000230611;0.0000807140;0.0000367635;0.0000807140;0.0000576529
1997;0.0002066766;0.0000866228;0.0001407620;0.0000324835;0.0000541392;0.0000757949;0.0001082785;0.0001407620
1998;0.0002928373;0.0000954502;0.0001166613;0.0000424223;0.0001484781;0.0000563149;0.0000424223;0.0001440870
1999;0.0002024729;0.0000667794;0.0005819344;0.0000286197;0.0000708655;0.0000667794;0.0000572395;0.0001335587
2000;0.0002415819;0.0000590338;0.0001096341;0.0000084334;0.0000927673;0.0000674671;0.0000421670;0.0000927673
2001;0.0003390692;0.0001553360;0.0000431489;0.0000172596;0.0000458202;0.0000690382;0.0000431489;0.0001121871
2002;0.0002271632;0.0001135816;0.0001223186;0.0000262111;0.0000649430;0.0000698964;0.0000262111;0.0001397927
2003;0.0002589878;0.0000894919;0.0000488138;0.0000081356;0.0000431646;0.0000690634;0.0000325425;0.0001545770
2004;0.0002767638;0.0001178196;0.0000925725;0.0000168314;0.0001178196;0.0000267836;0.0000420784;0.0000841568
2005;0.0003566392;0.0001292679;0.0000775608;0.0000086179;0.0000457230;0.0000731568;0.0000517072;0.0000947965
2006;0.0002429162;0.0001622757;0.0000763651;0.0000286369;0.0000910936;0.0000477282;0.0000668194;0.0002195495
2007;0.0002090453;0.0000656848;0.0000766322;0.0000328424;0.0000656848;0.0000656848;0.0000547373;0.0000656848
2008;0.0002176450;0.0000964590;0.0000964590;0.0000241147;0.0001408291;0.0001205737;0.0000361721;0.0001326311
